ID,DATE,CURRENCY,"PX_LAST(dates=RANGE(2010-01-01,2022-03-01))"
IOIPG MK Equity,2016-01-21,MYR,1.97743236
IOIPG MK Equity,2016-01-22,MYR,1.98671608
IOIPG MK Equity,2016-01-23,MYR,
IOIPG MK Equity,2016-01-24,MYR,
IOIPG MK Equity,2016-01-25,MYR,
IOIPG MK Equity,2016-01-26,MYR,1.94029748
IOIPG MK Equity,2016-01-27,MYR,1.9217300399999997
IOIPG MK Equity,2016-01-28,MYR,1.9495812000000001
IOIPG MK Equity,2016-01-29,MYR,1.97743236
IOIPG MK Equity,2016-01-30,MYR,
IOIPG MK Equity,2016-01-31,MYR,
IOIPG MK Equity,2016-02-01,MYR,
IOIPG MK Equity,2016-02-02,MYR,1.9495812000000001
IOIPG MK Equity,2016-02-03,MYR,1.98671608
IOIPG MK Equity,2016-02-04,MYR,2.00528352
IOIPG MK Equity,2016-02-05,MYR,1.9031625999999997
IOIPG MK Equity,2016-02-06,MYR,
IOIPG MK Equity,2016-02-07,MYR,
IOIPG MK Equity,2016-02-08,MYR,
IOIPG MK Equity,2016-02-09,MYR,
IOIPG MK Equity,2016-02-10,MYR,1.9031625999999997
IOIPG MK Equity,2016-02-11,MYR,1.89387888
IOIPG MK Equity,2016-02-12,MYR,1.89387888
IOIPG MK Equity,2016-02-13,MYR,
IOIPG MK Equity,2016-02-14,MYR,
IOIPG MK Equity,2016-02-15,MYR,1.8845951599999997
IOIPG MK Equity,2016-02-16,MYR,1.91244632
IOIPG MK Equity,2016-02-17,MYR,1.91244632
IOIPG MK Equity,2016-02-18,MYR,1.9681486400000001
IOIPG MK Equity,2016-02-19,MYR,1.93101376
IOIPG MK Equity,2016-02-20,MYR,
IOIPG MK Equity,2016-02-21,MYR,
IOIPG MK Equity,2016-02-22,MYR,1.95886492
IOIPG MK Equity,2016-02-23,MYR,2.00528352
IOIPG MK Equity,2016-02-24,MYR,1.93101376
IOIPG MK Equity,2016-02-25,MYR,1.91244632
IOIPG MK Equity,2016-02-26,MYR,1.9217300399999997
IOIPG MK Equity,2016-02-27,MYR,
IOIPG MK Equity,2016-02-28,MYR,
IOIPG MK Equity,2016-02-29,MYR,1.9031625999999997
IOIPG MK Equity,2016-03-01,MYR,1.93101376
IOIPG MK Equity,2016-03-02,MYR,1.91244632
IOIPG MK Equity,2016-03-03,MYR,1.9217300399999997
IOIPG MK Equity,2016-03-04,MYR,1.9217300399999997
IOIPG MK Equity,2016-03-05,MYR,
IOIPG MK Equity,2016-03-06,MYR,
IOIPG MK Equity,2016-03-07,MYR,1.9495812000000001
IOIPG MK Equity,2016-03-08,MYR,1.9495812000000001
IOIPG MK Equity,2016-03-09,MYR,1.95886492
IOIPG MK Equity,2016-03-10,MYR,1.98671608
IOIPG MK Equity,2016-03-11,MYR,1.9681486400000001
IOIPG MK Equity,2016-03-12,MYR,
IOIPG MK Equity,2016-03-13,MYR,
IOIPG MK Equity,2016-03-14,MYR,1.9959997999999999
IOIPG MK Equity,2016-03-15,MYR,1.98671608
IOIPG MK Equity,2016-03-16,MYR,2.0424184000000003
IOIPG MK Equity,2016-03-17,MYR,2.0424184000000003
IOIPG MK Equity,2016-03-18,MYR,2.088837
IOIPG MK Equity,2016-03-19,MYR,
IOIPG MK Equity,2016-03-20,MYR,
IOIPG MK Equity,2016-03-21,MYR,2.088837
IOIPG MK Equity,2016-03-22,MYR,2.2466602399999998
IOIPG MK Equity,2016-03-23,MYR,2.21880908
IOIPG MK Equity,2016-03-24,MYR,2.19095792
IOIPG MK Equity,2016-03-25,MYR,2.15382304
IOIPG MK Equity,2016-03-26,MYR,
IOIPG MK Equity,2016-03-27,MYR,
IOIPG MK Equity,2016-03-28,MYR,2.15382304
IOIPG MK Equity,2016-03-29,MYR,2.15382304
IOIPG MK Equity,2016-03-30,MYR,2.17239048
IOIPG MK Equity,2016-03-31,MYR,2.14453932
IOIPG MK Equity,2016-04-01,MYR,2.15382304
IOIPG MK Equity,2016-04-02,MYR,
IOIPG MK Equity,2016-04-03,MYR,
IOIPG MK Equity,2016-04-04,MYR,2.14453932
IOIPG MK Equity,2016-04-05,MYR,2.14453932
IOIPG MK Equity,2016-04-06,MYR,2.2095253599999998
IOIPG MK Equity,2016-04-07,MYR,2.16310676
IOIPG MK Equity,2016-04-08,MYR,2.17239048
IOIPG MK Equity,2016-04-09,MYR,
IOIPG MK Equity,2016-04-10,MYR,
IOIPG MK Equity,2016-04-11,MYR,2.17239048
IOIPG MK Equity,2016-04-12,MYR,2.17239048
IOIPG MK Equity,2016-04-13,MYR,2.25594396
IOIPG MK Equity,2016-04-14,MYR,2.2280927999999998
IOIPG MK Equity,2016-04-15,MYR,2.2745114
IOIPG MK Equity,2016-04-16,MYR,
IOIPG MK Equity,2016-04-17,MYR,
IOIPG MK Equity,2016-04-18,MYR,2.2280927999999998
IOIPG MK Equity,2016-04-19,MYR,2.21880908
IOIPG MK Equity,2016-04-20,MYR,2.2280927999999998
IOIPG MK Equity,2016-04-21,MYR,2.23737652
IOIPG MK Equity,2016-04-22,MYR,2.2280927999999998
IOIPG MK Equity,2016-04-23,MYR,
IOIPG MK Equity,2016-04-24,MYR,
IOIPG MK Equity,2016-04-25,MYR,2.2280927999999998
IOIPG MK Equity,2016-04-26,MYR,2.2280927999999998
IOIPG MK Equity,2016-04-27,MYR,2.2280927999999998
IOIPG MK Equity,2016-04-28,MYR,2.23737652
IOIPG MK Equity,2016-04-29,MYR,2.2466602399999998
IOIPG MK Equity,2016-04-30,MYR,
IOIPG MK Equity,2016-05-01,MYR,
IOIPG MK Equity,2016-05-02,MYR,
IOIPG MK Equity,2016-05-03,MYR,2.2280927999999998
IOIPG MK Equity,2016-05-04,MYR,2.2095253599999998
IOIPG MK Equity,2016-05-05,MYR,2.1816742000000002
IOIPG MK Equity,2016-05-06,MYR,2.17239048
IOIPG MK Equity,2016-05-07,MYR,
IOIPG MK Equity,2016-05-08,MYR,
IOIPG MK Equity,2016-05-09,MYR,2.23737652
IOIPG MK Equity,2016-05-10,MYR,2.11668816
IOIPG MK Equity,2016-05-11,MYR,2.2095253599999998
IOIPG MK Equity,2016-05-12,MYR,2.15382304
IOIPG MK Equity,2016-05-13,MYR,2.12597188
IOIPG MK Equity,2016-05-14,MYR,
IOIPG MK Equity,2016-05-15,MYR,
IOIPG MK Equity,2016-05-16,MYR,2.10740444
